分割日,証券コード,倍率
43066,2722,2
43034,6630,10
43004,3475,2
43004,3835,2
43004,6549,2
43004,8920,2
42975,2462,2
42975,3138,2
42975,3454,2
42975,3479,7
42975,3541,2
42975,3550,3
42975,3935,2
42975,6908,2
42975,7172,2
42942,3816,1.1
42942,3939,3
42942,3983,2
42942,4345,2
42936,3464,2
42923,3250,1
42913,2752,2
42913,3085,2
42913,3160,2
42913,3185,2
42913,3261,3
42913,3445,2
42913,3758,2
42913,3912,2
42913,3921,2
42913,3934,3
42913,3940,3
42913,3966,2
42913,3970,2
42913,4245,2
42913,4587,2
42913,4595,2
42913,6036,2
42913,6081,3
42913,6098,3
42913,7187,2
42913,7976,2
42913,9416,2
42913,9613,5
42891,3901,4
42881,3030,3
42881,3140,2
42881,3297,2
42881,3547,2
42881,3677,2
42881,3967,2
42881,4726,2
42881,6062,2
42881,6615,2
42881,8908,2
42881,9511,1.1
42879,2180,2
42872,8737,1
42850,2923,1.05
42850,3475,2
42850,3902,2
42850,3917,2
42850,6192,3
42844,2458,2
42843,4082,5
42836,3267,2
42830,2772,2
42822,1301,10
42822,1828,2
42822,2352,2
42822,2469,2
42822,2782,2
42822,2930,2
42822,3040,2
42822,3066,2
42822,3186,2
42822,3538,2
42822,3542,2
42822,3641,2
42822,3694,2
42822,3793,2
42822,3802,2
42822,3830,2
42822,3937,2
42822,3963,3
42822,3965,2
42822,3968,2
42822,4659,2
42822,4762,2
42822,4918,2
42822,4923,1.1
42822,4927,4
42822,4975,2
42822,5988,3
42822,6074,2
42822,6194,3
42822,6198,2
42822,6322,1.2
42822,6531,2
42822,6537,2
42822,6541,4
42822,6586,2
42822,6920,2
42822,7874,2
42822,7906,4
42822,8769,2
42822,8876,10
42822,9035,2
42822,9616,2
42822,9989,2
42804,7782,3
42795,9517,3
42789,1712,1.2
42789,1712,1.2
42789,2178,4
42789,2484,4
42789,3094,3
42789,3133,2
42789,3141,2
42789,3290,2
42789,3556,5
42789,3762,2
42789,4345,2
42789,6048,2
42789,6199,4
42789,6238,3
42789,6264,2
42789,7611,1.2
42789,7818,2
42761,1433,3
42761,2163,2
42761,3246,2
42761,3465,2
42755,6538,3
42731,2130,2
42731,2424,2
42731,2492,2
42731,3183,2
42731,3474,5
42731,3928,2
42731,4307,1.1
42731,4709,1.5
42731,6055,2
42731,6061,2
42731,6062,2
42731,6157,2
42731,6181,3
42731,6266,3
42731,7190,3
42731,7864,2
42731,9830,2
42719,6161,2
42717,3666,2
42717,3673,2
42716,8938,2
42699,3385,3
42699,3836,2
42699,3908,2
42699,6064,2
42699,6089,2
42699,6093,2
42699,6196,3
42699,7183,3
42699,7575,2
42669,2424,2
42669,3134,2
42669,3287,2
42669,3458,2
42669,3939,2
42640,1726,2
42640,1739,2
42640,2127,2
42640,3092,3
42640,3154,2
42640,3254,4
42640,3467,3
42640,3676,2
42640,3741,2
42640,3763,2
42640,3837,2
42640,3912,2
42640,3916,2
42640,3923,2
42640,3933,2
42640,3937,2
42640,4290,2
42640,4293,5
42640,4584,2
42640,4751,2
42640,6027,3
42640,6184,4
42640,7187,2
42640,7618,1.2
42640,8945,2
42640,9466,2
42640,9600,1.1
42613,6187,2
42608,1997,2
42608,2398,2
42608,3032,2
42608,3189,2
42608,3415,2
42608,3924,3
42608,4694,2
42608,6058,3
42608,6094,2
42608,6182,2
42608,8783,3
42577,3816,1.2
42577,3909,2
42577,6033,2
42577,6191,3
42548,1435,2
42548,2428,2
42548,3299,2
42548,3902,2
42548,3904,2
42548,3926,2
42548,3927,2
42548,4967,2
42548,6050,2
42548,6619,2
42548,7314,2
42548,7636,2
42548,8397,1.2
42536,6397,2
42516,2303,2
42516,3915,2
42516,6064,3
42516,6070,2
42516,7630,2
42516,8282,2
42516,9511,1.5
42485,2910,2
42485,3195,4
42485,3666,2
42457,2154,2
42457,2222,3
42457,3300,2
42457,3457,2
42457,3641,2
42457,3771,2
42457,3909,2
42457,3918,2
42457,4301,2
42457,4528,5
42457,4658,2
42457,4687,2
42457,4820,2
42457,4849,2
42457,4923,1.1
42457,4956,2
42457,6034,2
42457,6171,2
42457,7183,3
42457,7564,2
42457,9055,2
42443,4304,2
42424,2117,3
42424,3020,2
42424,3134,4
42424,3387,3
42424,3415,3
42424,6312,2
42424,7611,1.2
42416,9842,2
42398,5821,2
42395,1433,2
42395,3418,2
42395,3654,2
42395,3660,2
42395,3921,3
42395,6040,2
42383,6757,1.1
42363,2183,2
42363,2327,2
42363,3054,2
42363,3085,2
42363,3135,2
42363,3173,2
42363,3221,2
42363,3681,2
42363,3914,2
42363,4246,4
42363,4636,2
42363,6071,3
42363,6156,2
42363,6182,2
42363,7636,1.5
42363,9039,2
42363,9757,1.2
42348,3148,3
42333,1430,4
42333,2148,3
42333,3920,4
42333,6032,2
42333,6044,3
42304,3038,2
42304,3329,2
42304,3399,3
42304,8956,5
42300,2181,3
42272,2269,2
42272,2763,3
42272,3064,2
42272,3196,2
42272,3221,2
42272,3245,4
42272,3279,2
42272,3341,2
42272,3393,2
42272,3635,1.2
42272,3660,2
42272,4307,1.1
42272,4662,2
42272,6036,2
42272,6045,3
42272,6050,3
42272,6250,4
42272,6750,2
42272,6871,2
42272,7176,10
42272,7463,2
42272,7551,2
42272,7575,2
42272,8697,2
42272,9090,2
42272,9375,2
42272,9386,3
42272,9417,2
42272,9728,2
42272,9959,2
42255,7170,1
42242,1712,2
42242,2379,5
42242,2772,2
42242,3131,2
42242,3778,4
42242,3852,2
42242,6029,3
42242,6048,3
42242,6063,2
42242,6080,2
42242,6089,2
42242,6093,5
42242,6240,2
42242,6264,3
42242,6432,3
42242,7730,3
42242,8275,2
42242,9037,2
42242,9418,3
42213,2686,2
42213,3031,3
42213,3193,3
42213,3822,2
42213,3825,5
42213,3910,5
42213,4924,2
42213,7169,3
42213,7747,2
42213,7779,2
42213,7818,2
42213,9743,1.5
42180,1716,2
42180,2193,3
42180,2477,2
42180,3053,3
42180,3091,2
42180,3140,2
42180,3288,2
42180,3457,5
42180,3677,2
42180,3902,4
42180,4587,4
42180,4767,2
42180,4979,2
42180,6061,2
42180,6099,2
42180,6785,2
42180,7419,2
42180,7532,2
42180,7705,2
42180,7816,4
42180,7846,2
42180,8703,2
42180,9384,2
42180,9432,2
42180,9962,3
42172,1568,2
42171,3191,2
42150,2120,2
42150,2930,2
42150,3093,2
42150,3690,2
42150,9511,1.5
42139,3398,2
42118,2198,2
42118,2928,2
42118,3180,5
42118,3633,2
42118,3653,3
42118,3662,2
42118,7956,3
42104,3452,3
42089,2652,6
42089,2904,2
42089,3395,2
42089,3649,3
42089,3694,4
42089,3698,3
42089,3794,2
42089,3815,2
42089,4095,2
42089,4536,5
42089,4577,1.1
42089,4650,2
42089,4661,4
42089,4739,2
42089,4775,2
42089,4839,2
42089,4923,1.2
42089,6082,2
42089,6616,4
42089,6638,2
42089,6724,2
42089,6849,2
42089,6965,2
42089,7148,3
42089,8130,2
42089,8159,1.2
42089,8279,2
42089,9025,2
42089,9433,3
42089,9438,2
42089,9616,1.2
42089,9769,2
42089,9987,1.1
42079,6240,3
42059,3030,3
42059,3073,3
42059,3607,2
42059,7611,1.2
42059,7820,2
42059,8984,2
42059,9029,2
42031,2929,2
42031,3038,2
42031,3169,3
42031,3193,2
42031,3697,5
42031,3816,1.5
